"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.01099844009628,0.7,0.223,0,"0","Il1b"
0,5.5494499007252,0.581,0.119,0,"0","Cstdc4"
0,2.93604011800627,0.987,0.615,0,"0","Slpi"
0,1.8788250974631,0.926,0.619,0,"0","Cd84"
0,2.0060304554844,0.974,0.677,0,"0","Srgn"
6.89685198556742e-293,1.40968672698697,0.91,0.629,1.37937039711349e-289,"0","Plek"
1.55596497623288e-282,1.56826567759553,0.933,0.612,3.11192995246576e-279,"0","Cd9"
1.72838636686222e-282,3.8024992887191,0.708,0.268,3.45677273372445e-279,"0","Ifitm1"
1.3700371187298e-221,5.31369322223908,0.448,0.073,2.74007423745961e-218,"0","Cxcl2"
2.80682710883756e-207,2.45367419596053,0.718,0.398,5.61365421767512e-204,"0","Pdlim7"
2.16314172972594e-204,1.16561348119664,0.864,0.57,4.32628345945188e-201,"0","Pbx1"
7.48617402021584e-200,0.811745684635635,0.915,0.655,1.49723480404317e-196,"0","Mctp1"
3.4077701210863e-197,0.977326807763694,0.749,0.47,6.81554024217259e-194,"0","Rsad2"
8.88441297156764e-192,5.41210851364573,0.548,0.138,1.77688259431353e-188,"0","Stfa2l1"
4.9409708298705e-187,4.71526482832053,0.501,0.139,9.881941659741e-184,"0","Acod1"
6.96296202778823e-187,2.49296078710118,0.668,0.361,1.39259240555765e-183,"0","Basp1"
2.27612037478546e-183,3.13519095472674,0.656,0.374,4.55224074957093e-180,"0","Ifit3"
3.73360433001436e-183,2.07602942906316,0.879,0.699,7.46720866002872e-180,"0","Ifi27l2a"
3.87243233096009e-179,1.36037830281279,0.784,0.455,7.74486466192018e-176,"0","Trp53inp1"
6.87781004749324e-166,1.42899298568595,0.672,0.348,1.37556200949865e-162,"0","Fcgr4"
2.77947232211979e-153,0.750458351303259,0.942,0.743,5.55894464423958e-150,"0","Fyb"
1.13367503904169e-149,1.0806181999167,0.811,0.555,2.26735007808337e-146,"0","Tpm4"
3.86651400348758e-148,0.804996470411296,0.434,0.119,7.73302800697516e-145,"0","Dok6"
4.70159467158354e-143,2.15162251062928,0.444,0.119,9.40318934316707e-140,"0","Chrm3"
2.85383003619244e-137,1.48704134532336,0.753,0.516,5.70766007238487e-134,"0","Slc40a1"
