"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.5609240605529,0.955,0.331,0,"0","Ms4a1"
0,2.88740553944452,0.96,0.374,0,"0","Ly6d"
0,2.82910835032382,0.868,0.375,0,"0","Cr2"
0,1.99286776929025,0.922,0.491,0,"0","Iglc2"
1.59999667336436e-257,5.3215927241104,0.641,0.244,3.19999334672871e-254,"0","Vpreb3"
1.39875474218112e-195,5.34529140154191,0.281,0.006,2.79750948436225e-192,"0","Igkv3-1"
4.19044737681355e-190,2.41084275301202,0.712,0.397,8.3808947536271e-187,"0","Lmo2"
1.35587202124374e-172,1.6466010963753,0.727,0.356,2.71174404248748e-169,"0","Pou2af1"
2.29936351200937e-172,7.83179209078308,0.319,0.011,4.59872702401874e-169,"0","Igkv13-85"
4.69671962141213e-148,1.08442841878353,0.805,0.448,9.39343924282426e-145,"0","Wdfy4"
3.59920242151604e-140,1.61212479370375,0.714,0.429,7.19840484303208e-137,"0","Irf8"
1.78799936124723e-139,2.10572651774785,0.646,0.342,3.57599872249446e-136,"0","Serpinb1a"
8.1967352637775e-133,1.5833104062005,0.742,0.474,1.6393470527555e-129,"0","D17H6S56E-5"
1.14856113089307e-132,1.10981009491298,0.86,0.626,2.29712226178615e-129,"0","Nap1l1"
4.3752289717771e-103,2.58007090012378,0.529,0.335,8.7504579435542e-100,"0","Gm47782"
4.21632606168855e-96,6.3190917682858,0.298,0.037,8.4326521233771e-93,"0","Ighv8-8"
1.26322230906298e-95,4.41910151799659,0.282,0.045,2.52644461812596e-92,"0","Ighv1-49"
1.05134113117158e-85,1.65401338729112,0.667,0.477,2.10268226234315e-82,"0","Hmgn1"
2.76296219067486e-84,1.33217335205132,0.57,0.316,5.52592438134971e-81,"0","Kynu"
1.77819010825763e-79,0.912745730475182,0.751,0.554,3.55638021651527e-76,"0","Filip1l"
5.42356051965192e-74,2.57537079403712,0.26,0.043,1.08471210393038e-70,"0","Gm49439"
8.77325350900704e-74,3.18635591556612,0.327,0.076,1.75465070180141e-70,"0","Ighv1-9"
6.28196904627479e-72,0.448748544343123,0.959,0.804,1.25639380925496e-68,"0","Ptma"
1.44810558293827e-71,1.01460144722742,0.673,0.466,2.89621116587654e-68,"0","Cd24a"
1.9842580014204e-71,2.3428731557409,0.552,0.394,3.96851600284081e-68,"0","Chchd10"
2.14988510129919e-71,0.722439846485919,0.64,0.38,4.29977020259837e-68,"0","Mzb1"
2.66924835545822e-62,1.7419305036041,0.556,0.4,5.33849671091644e-59,"0","Gm43305"
1.01416374730296e-61,0.489699885598604,0.567,0.348,2.02832749460591e-58,"0","Cacna1e"
1.06700426823165e-61,1.22459089298431,0.607,0.44,2.1340085364633e-58,"0","Cd72"
2.45644106365865e-56,0.847627921901753,0.271,0.044,4.91288212731729e-53,"0","Ighv5-9-1"
2.2507918431851e-48,0.43309578720706,0.318,0.148,4.5015836863702e-45,"0","Ccdc18"
2.81899411090025e-48,2.34793548280603,0.409,0.221,5.6379882218005e-45,"0","Il4i1"
2.50113841941712e-43,3.58255519372678,0.261,0.068,5.00227683883424e-40,"0","Igkv2-137"
2.6357163845467e-42,0.429240123983081,0.337,0.201,5.2714327690934e-39,"0","Abcb10"
1.17038307212067e-41,1.08473449424691,0.399,0.193,2.34076614424134e-38,"0","Nxpe2"
1.40688492340879e-40,1.45569009528794,0.461,0.281,2.81376984681758e-37,"0","Fgd2"
1.59061875778323e-38,0.674065502445138,0.372,0.259,3.18123751556645e-35,"0","Alkbh8"
1.59481089122027e-38,0.790806249721607,0.343,0.221,3.18962178244053e-35,"0","Iglv1"
8.13721762899735e-38,1.48780218697535,0.484,0.365,1.62744352579947e-34,"0","E330020D12Rik"
5.19346177408611e-37,0.313506951591539,0.526,0.444,1.03869235481722e-33,"0","Pip5k1b"
8.8285731864219e-37,3.193231204688,0.337,0.255,1.76571463728438e-33,"0","Igkv8-21"
1.79481697623915e-32,0.667294895604589,0.448,0.381,3.5896339524783e-29,"0","Slc25a37"
9.99822639803038e-32,2.39394798968876,0.38,0.208,1.99964527960608e-28,"0","Iglv3"
6.32714133765707e-29,2.72872613267728,0.322,0.135,1.26542826753141e-25,"0","Igkv2-109"
6.45781422226708e-28,0.438585351340701,0.815,0.687,1.29156284445342e-24,"0","Snrpg"
4.75520673158961e-27,0.617825333031773,0.58,0.468,9.51041346317922e-24,"0","Hdac9"
1.07104704705929e-25,0.776581050319514,0.462,0.338,2.14209409411858e-22,"0","Il9r"
1.07204892917023e-25,0.404151770167956,0.789,0.675,2.14409785834045e-22,"0","Eef1g"
4.13059373618607e-24,0.72628196624228,0.304,0.211,8.26118747237214e-21,"0","H4c14"
5.6844930206795e-24,0.520263080526869,0.705,0.614,1.1368986041359e-20,"0","Hnrnpa1"
1.47198182263328e-22,0.950802175427358,0.274,0.107,2.94396364526656e-19,"0","Igkv14-111"
2.55771175643959e-22,1.75132294627986,0.314,0.209,5.11542351287919e-19,"0","Igkv10-96"
